Station Number,Year,Satellite Average
1101,2011,2.549780821917808
1101,2012,2.2848907103825136
1101,2013,3.0766027397260274
1101,2014,2.740958904109589
1102,1981,2.6167397260273972
1102,1982,1.685150684931507
1102,1983,1.3633972602739726
1102,1984,2.039207650273224
1102,1985,1.9335342465753425
1102,1986,1.7933698630136987
1102,1987,2.015068493150685
1102,1988,2.023633879781421
1102,1989,1.4187671232876713
1102,1990,1.6692328767123288
1102,1991,1.2392328767123288
1102,1992,1.1700546448087432
1102,1993,1.3115342465753423
1102,1994,0.9192602739726028
1102,1995,1.4796164383561645
1102,1996,1.3150546448087432
1102,1997,1.1849041095890411
1102,1998,1.3107945205479452
1102,1999,1.0958630136986303
1102,2000,1.5064754098360655
1102,2001,1.3226849315068492
1102,2002,1.224109589041096
1102,2003,1.3275068493150686
1102,2004,2.803306010928962
1102,2005,2.3936712328767125
1102,2006,2.333753424657534
1102,2007,2.6378904109589043
1102,2008,2.617049180327869
1102,2009,1.8116164383561644
1102,2010,2.398767123287671
1102,2011,2.549780821917808
1102,2012,2.2848907103825136
1102,2013,3.0766027397260274
1102,2014,2.740958904109589
1103,1981,2.6167397260273972
1103,1982,1.685150684931507
1103,1983,1.3633972602739726
1103,1984,2.039207650273224
1103,1985,1.9335342465753425
1103,1986,1.7933698630136987
1103,1987,2.015068493150685
1103,1988,2.023633879781421
1103,1989,1.4187671232876713
1103,1990,1.6692328767123288
1103,1991,1.2392328767123288
1103,1992,1.1700546448087432
1103,1993,1.3115342465753423
1103,1994,0.9192602739726028
1103,1995,1.4796164383561645
1103,1996,1.3150546448087432
1103,1997,1.1849041095890411
1103,1998,1.3107945205479452
1103,1999,1.0958630136986303
1103,2000,1.5064754098360655
1103,2001,1.3226849315068492
1103,2002,1.224109589041096
1103,2003,1.3275068493150686
1103,2004,2.803306010928962
1103,2005,2.3936712328767125
1103,2006,2.333753424657534
1103,2007,2.6378904109589043
1103,2008,2.617049180327869
1103,2009,1.8116164383561644
1103,2010,2.398767123287671
1103,2011,2.549780821917808
1103,2012,2.2848907103825136
1103,2013,3.0766027397260274
1103,2014,0.0
1104,1981,2.6167397260273972
1104,1982,1.685150684931507
1104,1983,1.3633972602739726
1104,1984,2.039207650273224
1104,1985,1.9335342465753425
1104,1986,1.7933698630136987
1104,1987,2.015068493150685
1104,1988,2.023633879781421
1104,1989,1.4187671232876713
1104,1990,1.6692328767123288
1104,1991,1.2392328767123288
1104,1992,1.1700546448087432
1104,1993,1.3115342465753423
1104,1994,0.9192602739726028
1104,1995,1.4796164383561645
1104,1996,1.3150546448087432
1104,1997,1.1849041095890411
1104,1998,1.3107945205479452
1104,1999,1.0958630136986303
1104,2000,1.5064754098360655
1104,2001,1.3226849315068492
1104,2002,1.224109589041096
1104,2003,1.3275068493150686
1104,2004,2.803306010928962
1104,2005,2.3936712328767125
1104,2006,2.333753424657534
1104,2007,2.6378904109589043
1104,2008,2.617049180327869
1104,2009,1.8116164383561644
1104,2010,2.398767123287671
1104,2011,2.549780821917808
1104,2012,2.2848907103825136
1104,2013,3.0766027397260274
