File,Year,Average Data,Is Leap Year
29 best from 909 c.xlsx,2003,6.136231246,FALSE
29 best from 909 c.xlsx,2004,5.486429872,TRUE
29 best from 909 c.xlsx,2005,5.255734399,FALSE
29 best from 909 c.xlsx,2006,5.328639922,FALSE
29 best from 909 c.xlsx,2007,8.048916504,FALSE
29 best from 909 c.xlsx,2008,4.784263054,TRUE
29 best from 909 c.xlsx,2009,3.76611546,FALSE
29 best from 911c.xlsx,1981,5.623835616,FALSE
29 best from 911c.xlsx,1982,2.936063275,FALSE
29 best from 911c.xlsx,1983,3.003561644,FALSE
29 best from 911c.xlsx,1984,5.227595628,TRUE
29 best from 911c.xlsx,1985,5.78,FALSE
29 best from 911c.xlsx,1986,5.084109589,FALSE
29 best from 911c.xlsx,1987,5.366849315,FALSE
29 best from 911c.xlsx,1988,5.366849315,TRUE
29 best from 911c.xlsx,1989,3.352876712,FALSE
29 best from 911c.xlsx,1990,3.396164384,FALSE
29 best from 911c.xlsx,1991,4.770410959,FALSE
29 best from 911c.xlsx,1992,2.837431694,TRUE
29 best from 911c.xlsx,1993,4.898356164,FALSE
29 best from 911c.xlsx,1994,2.574794521,FALSE
29 best from 911c.xlsx,1995,3.715890411,FALSE
29 best from 911c.xlsx,1996,3.448360656,TRUE
29 best from 911c.xlsx,1997,3.54630137,FALSE
29 best from 911c.xlsx,1998,6.02072407,FALSE
29 best from 911c.xlsx,1999,4.448493151,FALSE
29 best from 911c.xlsx,2000,4.772677596,TRUE
29 best from 911c.xlsx,2001,5.203013699,FALSE
29 best from 911c.xlsx,2002,4.922465753,FALSE
29 best from 911c.xlsx,2003,6.257817352,FALSE
29 best from 911c.xlsx,2004,6.060026347,TRUE
29 best from 911c.xlsx,2005,4.328075669,FALSE
29 best from 911c.xlsx,2006,4.348723092,FALSE
29 best from 911c.xlsx,2007,4.863013699,FALSE
29 best from 911c.xlsx,2008,3.85698185,TRUE
29 best from 911c.xlsx,2009,3.130136986,FALSE
29 best from 912 c.xlsx,1981,5.757418134,FALSE
29 best from 912 c.xlsx,1982,4.040344423,FALSE
29 best from 912 c.xlsx,1983,4.558238095,FALSE
29 best from 912 c.xlsx,1984,5.345810565,TRUE
29 best from 912 c.xlsx,1985,6.668528376,FALSE
29 best from 912 c.xlsx,1986,5.315620352,FALSE
29 best from 912 c.xlsx,1987,5.197449446,FALSE
29 best from 912 c.xlsx,1988,5.119227817,TRUE
29 best from 912 c.xlsx,1989,4.19210698,FALSE
29 best from 912 c.xlsx,1990,4.114928245,FALSE
29 best from 912 c.xlsx,1991,4.95340411,FALSE
29 best from 912 c.xlsx,1992,3.313814728,TRUE
29 best from 912 c.xlsx,1993,4.609467275,FALSE
29 best from 912 c.xlsx,1994,3.308349641,FALSE
29 best from 912 c.xlsx,1995,3.609535225,FALSE
29 best from 912 c.xlsx,1996,4.020227253,TRUE
29 best from 912 c.xlsx,1997,4.810235921,FALSE
29 best from 912 c.xlsx,1998,6.418119156,FALSE
29 best from 912 c.xlsx,1999,4.917845727,FALSE
29 best from 912 c.xlsx,2000,5.265616597,TRUE
29 best from 912 c.xlsx,2001,4.356503044,FALSE
29 best from 912 c.xlsx,2002,5.686660687,FALSE
29 best from 912 c.xlsx,2003,6.853758969,FALSE
29 best from 912 c.xlsx,2004,6.918367269,TRUE
29 best from 912 c.xlsx,2005,4.193290389,FALSE
29 best from 912 c.xlsx,2006,5.593237117,FALSE
29 best from 912 c.xlsx,2007,6.705740922,FALSE
29 best from 912 c.xlsx,2008,4.420465565,TRUE
29 best from 912 c.xlsx,2009,2.420129376,FALSE
30 best from 1101 c.xlsx,1981,4.696164384,FALSE
30 best from 1101 c.xlsx,1982,3.853972603,FALSE
30 best from 1101 c.xlsx,1983,3.509041096,FALSE
30 best from 1101 c.xlsx,1984,4.481693989,TRUE
30 best from 1101 c.xlsx,1985,4.713424658,FALSE
30 best from 1101 c.xlsx,1986,3.603561644,FALSE
30 best from 1101 c.xlsx,1987,4.385205479,FALSE
30 best from 1101 c.xlsx,1988,4.184972678,TRUE
30 best from 1101 c.xlsx,1989,2.254481409,FALSE
30 best from 1101 c.xlsx,1990,2.820273973,FALSE
30 best from 1101 c.xlsx,1991,1.831506849,FALSE
30 best from 1101 c.xlsx,1992,2.053278689,TRUE
30 best from 1101 c.xlsx,1993,2.540547945,FALSE
30 best from 1101 c.xlsx,1994,2.785205479,FALSE
30 best from 1101 c.xlsx,1995,3.57369863,FALSE
30 best from 1101 c.xlsx,1996,3.418579235,TRUE
30 best from 1101 c.xlsx,1997,2.644109589,FALSE
30 best from 1101 c.xlsx,1998,3.506575342,FALSE
30 best from 1101 c.xlsx,1999,3.316438356,FALSE
30 best from 1101 c.xlsx,2000,6.373224044,TRUE
30 best from 1101 c.xlsx,2001,4.726562296,FALSE
30 best from 1101 c.xlsx,2002,6.625479452,FALSE
30 best from 1101 c.xlsx,2003,4.264452055,FALSE
30 best from 1101 c.xlsx,2004,2.848360656,TRUE
30 best from 1101 c.xlsx,2005,2.710558708,FALSE
